id,name,code,description,status,established_at,approved_on,created_at,department_id,program_id
146,MICROPROCESSORS ARCHITECTURE AND PROGRAMMING,GBCS4A03T,MICROPROCESSORS ARCHITECTURE AND PROGRAMMING (GBCS4A03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
147,SENSORS AND TRANSDUCERS,GBCS4A04T,SENSORS AND TRANSDUCERS (GBCS4A04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
148,DATABASE MANAGEMENT SYSTEM AND RDBMS,GBCS4B05T,DATABASE MANAGEMENT SYSTEM AND RDBMS (GBCS4B05T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
149,PROGRAMMING LABORATORY II: DATA STRUCTURES AND RDBMS,GBCS4B06P,PROGRAMMING LABORATORY II: DATA STRUCTURES AND RDBMS (GBCS4B06P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
150,COMPUTER ORGANIZATION AND ARCHITECTURE,GBCS5B07T,COMPUTER ORGANIZATION AND ARCHITECTURE (GBCS5B07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
151,JAVA PROGRAMMING,GBCS5B08T,JAVA PROGRAMMING (GBCS5B08T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
152,WEB PROGRAMMING USING PHP,GBCS5B09T,WEB PROGRAMMING USING PHP (GBCS5B09T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
153,PRINCIPLES OF SOFTWARE ENGINEERING,GBCS5B10T,PRINCIPLES OF SOFTWARE ENGINEERING (GBCS5B10T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
154,INTRODUCTION TO COMPUTERS & OFFICE AUTOMATION,GBCS5D01T,INTRODUCTION TO COMPUTERS & OFFICE AUTOMATION (GBCS5D01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
155,Android Programming,GBCS6B11T,Android Programming (GBCS6B11T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
156,Operating Systems,GBCS6B12T,Operating Systems (GBCS6B12T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
157,Computer Networks,GBCS6B13T,Computer Networks (GBCS6B13T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
158,Programming Laboratory III: Java and PHP Programming,GBCS6B14P,Programming Laboratory III: Java and PHP Programming (GBCS6B14P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
159,Programming Laboratory IV: Android and Linux shell Programming,GBCS6B15P,Programming Laboratory IV: Android and Linux shell Programming (GBCS6B15P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
160,Industrial Visit & Project Work,GBCS6B16D,Industrial Visit & Project Work (GBCS6B16D),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
161,Elective Course,GBCS6EXXT,Elective Course (GBCS6EXXT),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
162,ANGIOSPERM ANATOMY & MICRO TECHNIQUE,GBOT1B01T,ANGIOSPERM ANATOMY & MICRO TECHNIQUE (GBOT1B01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
163,ANGIOSPERM ANATOMY AND MICRO TECHNIQUE,GBOT1C01T,ANGIOSPERM ANATOMY AND MICRO TECHNIQUE (GBOT1C01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
164,"MICROBIOLOGY, MYCOLOGY, LICHENOLOGY & PLANT PATHOLOGY",GBOT2B02T,"MICROBIOLOGY, MYCOLOGY, LICHENOLOGY & PLANT PATHOLOGY (GBOT2B02T)",t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
165,"CRYPTOGAMS,GYMNOSPERMS & PLANT PATHOLOGY",GBOT2C02T,"CRYPTOGAMS,GYMNOSPERMS & PLANT PATHOLOGY (GBOT2C02T)",t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
166,"PHYCOLOGY, BRYOLOGY & PTERIDOLOGY& GYMNOSPERMS",GBOT3B03T,"PHYCOLOGY, BRYOLOGY & PTERIDOLOGY& GYMNOSPERMS (GBOT3B03T)",t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
167,"MORPHOLOGY,SYSTEMATIC BOTANY, ECO. BOTANY, PLANTBREEDING & HORTICULTURE",GBOT3C03T,"MORPHOLOGY,SYSTEMATIC BOTANY, ECO. BOTANY, PLANTBREEDING & HORTICULTURE (GBOT3C03T)",t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
168,"RESEARCH METHODOLOGY, REPRODUCTIVE BOTANY & PALYNOLOGY",GBOT4B04T,"RESEARCH METHODOLOGY, REPRODUCTIVE BOTANY & PALYNOLOGY (GBOT4B04T)",t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
169,PRACTICAL PAPER - I,GBOT4B05P,PRACTICAL PAPER - I (GBOT4B05P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
170,"PLANT PHYSIOLOGY, ECOLOGY AND GENETICS",GBOT4C04T,"PLANT PHYSIOLOGY, ECOLOGY AND GENETICS (GBOT4C04T)",t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
171,COMPLEMENTARYCOURSE-  PRACTICAL PAPER 1,GBOT4C05P,COMPLEMENTARYCOURSE-  PRACTICAL PAPER 1 (GBOT4C05P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
172,"CELL BIOLOGY, PALAEOBOTANY, PHYTOGEOGRAPHY & EVOLUTION",GBOT5B06T,"CELL BIOLOGY, PALAEOBOTANY, PHYTOGEOGRAPHY & EVOLUTION (GBOT5B06T)",t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
173,ANGIOSPERM MORPHOLOGY & SYSTEMATICS,GBOT5B07T,ANGIOSPERM MORPHOLOGY & SYSTEMATICS (GBOT5B07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
174,"TISSUE CULTURE, HORTICULTURE, ECONOMIC BOTANY& ETHNOBOTANY",GBOT5B08T,"TISSUE CULTURE, HORTICULTURE, ECONOMIC BOTANY& ETHNOBOTANY (GBOT5B08T)",t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
175,PLANT PHYSIOLOGY,GBOT5B09T,PLANT PHYSIOLOGY (GBOT5B09T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
176,APPLIED BOTANY,GBOT5D02T,APPLIED BOTANY (GBOT5D02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
177,Genetics & Plant Breeding,GBOT6B10T,Genetics & Plant Breeding (GBOT6B10T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
178,"Biotechnology, Molecular biology & Bioinformatics",GBOT6B11T,"Biotechnology, Molecular biology & Bioinformatics (GBOT6B11T)",t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
179,Plant Biochemisrty,GBOT6B12T,Plant Biochemisrty (GBOT6B12T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
180,Environmental Science,GBOT6B13T,Environmental Science (GBOT6B13T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
181,Genetics and Crop Improvement,GBOT6B14T,Genetics and Crop Improvement (GBOT6B14T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
182,"Cell Biology, Palaeobotany, Phytogeography, Angiosperm Morphology, Systematics, Tissue culture, Horticulture, Econ. Botany, Ethnobot., Plant Physiology",GBOT6B15P,"Cell Biology, Palaeobotany, Phytogeography, Angiosperm Morphology, Systematics, Tissue culture, Horticulture, Econ. Botany, Ethnobot., Plant Physiology (GBOT6B15P)",t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
183,"Genetics, Pl. Breeding, Biotechnology,Molecular Biology, Plant Biochemistry &Environmental Science",GBOT6B16P,"Genetics, Pl. Breeding, Biotechnology,Molecular Biology, Plant Biochemistry &Environmental Science (GBOT6B16P)",t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
184,PROJECT WORK,GBOT6B17P,PROJECT WORK (GBOT6B17P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,1,6
185,THEORETICAL AND INORGANIC CHEMISTRY I,GCHE1B01T,THEORETICAL AND INORGANIC CHEMISTRY I (GCHE1B01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
186,GENERAL CHEMISTRY,GCHE1C01T,GENERAL CHEMISTRY (GCHE1C01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
187,THEORETICAL AND INORGANIC CHEMISTRY- II,GCHE2BO2T,THEORETICAL AND INORGANIC CHEMISTRY- II (GCHE2BO2T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
188,PHYSICAL CHEMISTRY,GCHE2C02T,PHYSICAL CHEMISTRY (GCHE2C02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
189,PHYSICAL CHEMISTRY-I,GCHE3B03T,PHYSICAL CHEMISTRY-I (GCHE3B03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
190,ORGANIC CHEMISTRY,GCHE3C03T,ORGANIC CHEMISTRY (GCHE3C03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
191,ORGANIC CHEMISTRY - 1,GCHE4B04T,ORGANIC CHEMISTRY - 1 (GCHE4B04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
192,INORGANIC CHEMISTRY PRACTICAL-I,GCHE4B05P,INORGANIC CHEMISTRY PRACTICAL-I (GCHE4B05P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
193,PHYSICAL AND APPLIED CHEMISTRY,GCHE4C04T,PHYSICAL AND APPLIED CHEMISTRY (GCHE4C04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
194,COMPLEMENTARY COURSE V: CHEMISTRY PRACTICAL,GCHE4C05P,COMPLEMENTARY COURSE V: CHEMISTRY PRACTICAL (GCHE4C05P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
195,INORGANIC CHEMISTRY â€“ III,GCHE5B06T,INORGANIC CHEMISTRY â€“ III (GCHE5B06T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
196,ORGANIC CHEMISTRY â€“ II,GCHE5B07T,ORGANIC CHEMISTRY â€“ II (GCHE5B07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
197,PHYSICAL CHEMISTRY - II,GCHE5B08T,PHYSICAL CHEMISTRY - II (GCHE5B08T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
198,CHEMISTRY IN DAILY LIFE,GCHE5D02T,CHEMISTRY IN DAILY LIFE (GCHE5D02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
199,Inorganic Chemistry-IV,GCHE6B09T,Inorganic Chemistry-IV (GCHE6B09T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
200,Organic Chemistry-III,GCHE6B10T,Organic Chemistry-III (GCHE6B10T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
201,Physical Chemistry-III,GCHE6B11T,Physical Chemistry-III (GCHE6B11T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
202,Advanced and Applied Chemistry,GCHE6B12T,Advanced and Applied Chemistry (GCHE6B12T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
203,Physical Chemistry Practical,GCHE6B13P,Physical Chemistry Practical (GCHE6B13P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
204,Organic Chemistry Practical,GCHE6B14P,Organic Chemistry Practical (GCHE6B14P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
205,Inorganic Chemistry Practical-II,GCHE6B15P,Inorganic Chemistry Practical-II (GCHE6B15P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
206,Inorganic Chemistry Practical-III,GCHE6B16P,Inorganic Chemistry Practical-III (GCHE6B16P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
207,Project Work,GCHE6B17D,Project Work (GCHE6B17D),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
208,Polymer Chemistry,GCHE6E02T,Polymer Chemistry (GCHE6E02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,5
209,MICRO 2 1,GECO1B01T,MICRO 2 1 (GECO1B01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
210,ESSENTIALS OF 2 I - MICRO,GECO1C01T,ESSENTIALS OF 2 I - MICRO (GECO1C01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
211,ESSENTIALS OF 2 II- MACRO,GECO1C02T,ESSENTIALS OF 2 II- MACRO (GECO1C02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
212,"ESSENTIALS OF 2 III-MONEY, BANKING, FINANCE AND TRADE",GECO1C03T,"ESSENTIALS OF 2 III-MONEY, BANKING, FINANCE AND TRADE (GECO1C03T)",t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
213,ESSENTIALS OF 2 IV-INDIAN ECONOMY,GECO1C04T,ESSENTIALS OF 2 IV-INDIAN ECONOMY (GECO1C04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
214,MICRO2 II,GECO2B02T,MICRO2 II (GECO2B02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
215,ESSENTIALS OF 2 -II MACRO,GECO2C02T,ESSENTIALS OF 2 -II MACRO (GECO2C02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
216,QUANTITATIVE METHODS FOR ECONOMIC ANALYSIS - I,GECO3B03T,QUANTITATIVE METHODS FOR ECONOMIC ANALYSIS - I (GECO3B03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
217,FINANCIAL 2,GECO3B04T,FINANCIAL 2 (GECO3B04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
218,"ESSENTIALS OF 2-MONEY, BANKING, FINANCE AND TRADE",GECO3C03T,"ESSENTIALS OF 2-MONEY, BANKING, FINANCE AND TRADE (GECO3C03T)",t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
219,QUANTITATIVE METHODS FOR 2 ANALYSIS-II,GECO4B05T,QUANTITATIVE METHODS FOR 2 ANALYSIS-II (GECO4B05T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
220,DEVELOPMENT OF ECONOMIC THOUGHT,GECO4B06T,DEVELOPMENT OF ECONOMIC THOUGHT (GECO4B06T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
221,ESSENTIALS OF 2 IV-INDIAN ECONOMY,GECO4C04T,ESSENTIALS OF 2 IV-INDIAN ECONOMY (GECO4C04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
222,MACRO 2 I,GECO5B07T,MACRO 2 I (GECO5B07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
223,MATHEMATICS FOR 2,GECO5B08T,MATHEMATICS FOR 2 (GECO5B08T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
224,INTERNATIONAL 2,GECO5B09T,INTERNATIONAL 2 (GECO5B09T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
225,FISCAL 2,GECO5B10T,FISCAL 2 (GECO5B10T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
226,2 FOR EVERYDAYLIFE,GECO5D11T,2 FOR EVERYDAYLIFE (GECO5D11T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
227,Macro 2 II,GECO6B11T,Macro 2 II (GECO6B11T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
228,Mathematical 2,GECO6B12T,Mathematical 2 (GECO6B12T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
229,India’s Economic Development: National and Regional,GECO6B13T,India’s Economic Development: National and Regional (GECO6B13T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
230,2 of Growth and Development,GECO6B14T,2 of Growth and Development (GECO6B14T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
231,Project work,GECO6B15P,Project work (GECO6B15P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
232,Basic Econometrics,GECO6E16T,Basic Econometrics (GECO6E16T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,7,2
233,TRANSACTIONS: ESSENTIAL ENGLISH LANGUAGE SKILLS,GENG1A01T,TRANSACTIONS: ESSENTIAL ENGLISH LANGUAGE SKILLS (GENG1A01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
234,WAYS WITH WORDS: LITERATURE IN ENGLISH,GENG1A02T,WAYS WITH WORDS: LITERATURE IN ENGLISH (GENG1A02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
235,DEVELOPING FLUENCY AND CLARITY IN ENGLISH,GENG1A07T,DEVELOPING FLUENCY AND CLARITY IN ENGLISH (GENG1A07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
236,INTRODUCING LITERATURE,GENG1B01T,INTRODUCING LITERATURE (GENG1B01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
237,WRITING FOR ACADEMIC & PROFESSIONAL SUCCESS,GENG2A03T,WRITING FOR ACADEMIC & PROFESSIONAL SUCCESS (GENG2A03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
238,ZEITGEIST: READINGS ON CONTEMPORARY,GENG2A04T,ZEITGEIST: READINGS ON CONTEMPORARY (GENG2A04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
239,APPRECIATING POETRY,GENG2B02T,APPRECIATING POETRY (GENG2B02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
240,SIGNATURES: EXPRESSING THE SELF,GENG3A05T,SIGNATURES: EXPRESSING THE SELF (GENG3A05T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
241,APPRECIATING PROSE,GENG3B03T,APPRECIATING PROSE (GENG3B03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
242,ENGLISH GRAMMAR AND USAGE,GENG3B04T,ENGLISH GRAMMAR AND USAGE (GENG3B04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
243,SPECTRUM: LITERATURE AND CONTEMPORARY ISSUES,GENG4A06T,SPECTRUM: LITERATURE AND CONTEMPORARY ISSUES (GENG4A06T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
244,APPRECIATING FICTION,GENG4B05T,APPRECIATING FICTION (GENG4B05T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
245,LITERARY CRITICISM,GENG4B06T,LITERARY CRITICISM (GENG4B06T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
246,APPRECIATING DRAMA AND THEATRE,GENG5B07T,APPRECIATING DRAMA AND THEATRE (GENG5B07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
247,LITERARY THEORY,GENG5B08T,LITERARY THEORY (GENG5B08T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
248,LANGUAGEAND LINGUISTICS,GENG5B09T,LANGUAGEAND LINGUISTICS (GENG5B09T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
249,INDIAN WRITING IN ENGLISH,GENG5B10T,INDIAN WRITING IN ENGLISH (GENG5B10T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
250,ENGLISH FOR COMPETITIVE EXAMINATIONS,GENG5D01T,ENGLISH FOR COMPETITIVE EXAMINATIONS (GENG5D01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
251,APPRECIATING LITERATURE,GENG5D03T,APPRECIATING LITERATURE (GENG5D03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,8,1
252,COMMUNICATION SKILLS IN ENGLISH,GFEN1B01T,COMMUNICATION SKILLS IN ENGLISH (GFEN1B01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
253,LITERATURE IN ENGLISH: FROM CHAUCER TO THE PRESENT - I,GFEN1C01T,LITERATURE IN ENGLISH: FROM CHAUCER TO THE PRESENT - I (GFEN1C01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
254,CULTURAL STUDIES: PERSPECTIVES IN CULTURE - I,GFEN1C02T,CULTURAL STUDIES: PERSPECTIVES IN CULTURE - I (GFEN1C02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
255,ENGLISH FOR COMMUNICATION I - ENGLISH LANGUAGE AND COMMUNICATION - THE BASICS,GFEN1C09T,ENGLISH FOR COMMUNICATION I - ENGLISH LANGUAGE AND COMMUNICATION - THE BASICS (GFEN1C09T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
256,ADVANCED ENGLISH GRAMMAR,GFEN2B02T,ADVANCED ENGLISH GRAMMAR (GFEN2B02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
257,LITERATURES IN ENGLISH: FROM CHAUCER TO THE PRESENT-II,GFEN2C03T,LITERATURES IN ENGLISH: FROM CHAUCER TO THE PRESENT-II (GFEN2C03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
258,CULTURAL STUDIES: PERSPECTIVES IN CULTURE-II,GFEN2C04T,CULTURAL STUDIES: PERSPECTIVES IN CULTURE-II (GFEN2C04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
259,ENGLISH FOR COMMUNICATION-II PAPER II- PLATFORM SKILLS,GFEN2C10T,ENGLISH FOR COMMUNICATION-II PAPER II- PLATFORM SKILLS (GFEN2C10T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
260,LANGUAGE AND TECHNOLOGY,GFEN3B03T,LANGUAGE AND TECHNOLOGY (GFEN3B03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
261,APPLIED PHONETICS,GFEN3B04T,APPLIED PHONETICS (GFEN3B04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
307,SAHITHYA PADANAM-1,GMAL1A02T,SAHITHYA PADANAM-1 (GMAL1A02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,18,34
262,LITERATURES IN ENGLISH: AMERICAN & POST COLONIAL-I,GFEN3C05T,LITERATURES IN ENGLISH: AMERICAN & POST COLONIAL-I (GFEN3C05T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
263,CULTURAL STUDIES: CULTURAL SPACES-I,GFEN3C06T,CULTURAL STUDIES: CULTURAL SPACES-I (GFEN3C06T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
264,ENGLISH FOR COMMUNICATION- III PAPER III-BUSINESS COMMUNICATION,GFEN3C11T,ENGLISH FOR COMMUNICATION- III PAPER III-BUSINESS COMMUNICATION (GFEN3C11T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
265,FUNDAMENTALS OF LINGUISTICS,GFEN4B05T,FUNDAMENTALS OF LINGUISTICS (GFEN4B05T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
266,ENGLISH FOR BUSINESS COMMUNICATION,GFEN4B06T,ENGLISH FOR BUSINESS COMMUNICATION (GFEN4B06T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
267,LITERATURES IN ENGLISH: AMERICAN & POST COLONIAL-II,GFEN4C07T,LITERATURES IN ENGLISH: AMERICAN & POST COLONIAL-II (GFEN4C07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
268,CULTURAL STUDIES: CULTURAL SPACES-II,GFEN4C08T,CULTURAL STUDIES: CULTURAL SPACES-II (GFEN4C08T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
269,ENGLISH FOR COMMUNICATION -IV PAPER IV-ACADEMIC WRITING,GFEN4C12T,ENGLISH FOR COMMUNICATION -IV PAPER IV-ACADEMIC WRITING (GFEN4C12T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
270,TRANSLATION STUDIES,GFEN5B07T,TRANSLATION STUDIES (GFEN5B07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
271,PRINT MEDIA,GFEN5B08T,PRINT MEDIA (GFEN5B08T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
272,THEATRE FOR COMMUNICATION,GFEN5B09T,THEATRE FOR COMMUNICATION (GFEN5B09T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
273,CONTEMPORARY LITERARY THEORY,GFEN5B10T,CONTEMPORARY LITERARY THEORY (GFEN5B10T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
274,ENGLISH FOR PROFESSIONAL SUCCESS,GFEN5DO3T,ENGLISH FOR PROFESSIONAL SUCCESS (GFEN5DO3T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
275,English Language Teaching,GFEN6B11T,English Language Teaching (GFEN6B11T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
276,Electronic Media,GFEN6B12T,Electronic Media (GFEN6B12T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
277,Creative Writing,GFEN6B13T,Creative Writing (GFEN6B13T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
278,Film Studies,GFEN6B14T,Film Studies (GFEN6B14T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
279,Project,GFEN6B15D,Project (GFEN6B15D),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
280,Language for Advertising : Theory and Practice,GFEN6E01T,Language for Advertising : Theory and Practice (GFEN6E01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,9,12
